id	area	layer	status	lean_surface	js_surface	tests	notes	next
core.interface.scalars	core	interface	supported	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Nat Int Bool String Float Float32 UInt8 UInt16 UInt32 UInt64 USize ByteArray Unit supported	none
core.interface.containers	core	interface	supported	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Array List Option Prod Sum Except over supported types supported	none
core.interface.structures	core	interface	supported	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Non-indexed structures including inherited fields supported	none
core.interface.inductives	core	interface	partial	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Custom inductives and simple recursive inductives supported; mutual non-uniform and inherited recursive structures limited	improve recursive and rectype coverage
core.interface.resources	core	interface	supported	Vir.Host	vir-runtime;vir-host-bindings	test:runtime	Opaque resource handles cross boundary by host-owned handles	none
core.interface.callbacks	core	interface	supported	Vir.Host;Vir.Browser;Vir.React	vir-runtime;vir-host-bindings	test:runtime;test:upstream	Lean closures retained by JS and released on remove cancel rerender unmount package reload or runtime dispose	closure release optimization
core.interface.expr	core	interface	supported	Vir.GeneratePackage	vir-runtime	test:runtime;test:fixtures	Lean.Expr and Level structural wire representation supported	none
browser.document.query	browser	dom	supported	Vir.Browser.Document	vir-host-bindings	test:runtime;test:upstream	querySelector getTitle setTitle supported	none
browser.element.text_attr	browser	dom	supported	Vir.Browser.Element	vir-host-bindings	test:runtime;test:upstream	getTextContent setTextContent getAttribute setAttribute supported	none
browser.element.lifecycle	browser	dom	missing	none	none	none	createElement append remove replace classList not exposed	add blessed DOM mutation API
browser.events	browser	dom	supported	Vir.Browser.Event;Vir.Browser.Element	vir-host-bindings	test:runtime;test:upstream	addEventListener removeEventListener target currentTarget preventDefault stopPropagation supported	none
browser.inputs	browser	dom	supported	Vir.Browser.HTMLInputElement;Vir.Browser.Event	vir-host-bindings	test:runtime;test:upstream	fromElement getValue setValue getChecked setChecked inputValue? formValue? inputChecked? supported	none
browser.timers	browser	dom	supported	Vir.Browser.Timer	vir-host-bindings	test:runtime;test:upstream	setTimeout clearTimeout setInterval clearInterval supported including retained callback cleanup	none
browser.animation	browser	dom	supported	Vir.Browser.Animation	vir-host-bindings	test:runtime;test:upstream	requestAnimationFrame cancelAnimationFrame supported including retained callback cleanup	none
react.root	react	renderer	supported	Vir.React.Root	vir-host-bindings	test:runtime;test:upstream	create createFromSelector mountFromSelector render renderComponent unmount plus selector-owned renderIntoSelector renderComponentIntoSelector unmountSelector supported	none
react.node.resource	react	renderer	supported	Vir.React.Node	vir-host-bindings	test:runtime;test:upstream	Native ReactNode text and element resources with optional key props handlers children supported	none
react.props.scalar	react	renderer	supported	Vir.React.Property;Vir.React.PropValue	vir-host-bindings	test:runtime;test:upstream	string bool int float props and raw escape hatches supported	none
react.props.style_class	react	renderer	supported	Vir.React.Property;Vir.React.PropValue	vir-host-bindings	test:runtime;test:upstream	style object and classList supported; style values are strings	typed CSS helpers
react.props.blessed	react	renderer	partial	Vir.React.Property	vir-host-bindings	test:runtime;test:upstream	id name className title role aria data tabIndex form input textarea select checkbox props covered	add missing common DOM props as demos require
react.events	react	renderer	supported	Vir.React.EventHandler	vir-host-bindings	test:runtime;test:upstream	onClick onInput onChange onSubmit and raw handler helpers supported	none
react.elements.blessed	react	renderer	partial	Vir.React.Node	vir-host-bindings	test:runtime;test:upstream	div span input textarea label form select option button section article header nav main ul li p pre code strong h1-h6 and text-child helpers covered; Lean helper declarations are table-driven	add details summary dialog as demos require
react.components	react	renderer	supported	Vir.React.Component;Vir.React.Hooks	vir-host-bindings	test:runtime;test:upstream	Lean function components with ReactM Node construction hook-backed renderComponent useState and resource-shaped useEffect support	broaden component API as examples require
infoview.widget_module	infoview	shell	supported	Vir.Infoview.Widget;Vir.Infoview.widget	vir-infoview-widget	test:infoview	Embedded ES module externalizes react react-dom and @leanprover/infoview	none
infoview.assets	infoview	shell	supported	Vir.Infoview.Assets;Vir.Infoview.readAsset;Vir.Infoview.statAsset	vir-infoview-widget	test:infoview	Local path asset read and stat over RPC with base64 byte transport supported	raw binary asset transport when host supports it
infoview.live_ir_package	infoview	shell	supported	Vir.Infoview.Package;Vir.Infoview.Widget;Vir.Infoview.IRPackage;Vir.Infoview.ReactWidget;vir_proof_widget;Vir.Infoview.buildIRPackage;Vir.Infoview.statIRPackage	vir-infoview-widget	test:infoview;test:upstream	Live package built from active Lean server snapshot and closure-IR revision token supported	replace polling with editor invalidation signal when available
infoview.surface.cursor	infoview	surface	supported	Vir.Infoview.DocumentPosition	vir-infoview-widget	test:infoview;test:runtime;test:upstream	URI fileName zero-based line character and display label supported	none
infoview.surface.goals	infoview	surface	supported	Vir.Infoview.Surface;Vir.Infoview.Goal;Vir.Infoview.Hypothesis	vir-infoview-widget	test:infoview;test:runtime;test:upstream;test:pages:browser	Goals termGoal target hypotheses values fvarIds userName mvarId status supported and shown in ReactProofWidget API strip	none
infoview.surface.selections	infoview	surface	supported	Vir.Infoview.SelectedLocation	vir-infoview-widget	test:infoview;test:runtime;test:upstream;test:pages:browser	Selected locations normalized to id kind label supported and shown in ReactProofWidget surface panel	none
infoview.clipboard	infoview	action	supported	Vir.Infoview.Clipboard	vir-host-bindings	test:runtime;test:upstream;test:pages:browser	writeText host command exposed to Lean and showcased by ReactProofWidget target/context copy actions	add typed edit and hover commands
infoview.command.reveal_position	infoview	action	supported	Vir.Infoview.Command	vir-host-bindings;vir-infoview-widget	test:runtime;test:upstream;test:pages:browser	revealPosition host command exposed to Lean and dispatched through upstream EditorConnection.revealPosition in the infoview shell	add location range reveal support
infoview.rpc.commands	infoview	rpc	missing	none	none	none	No typed edit hover go-to-definition command surface yet	add typed edit hover and go-to-definition APIs
infoview.rpc.refs	infoview	rpc	partial	Vir.Infoview.ProofWidgetsRpc;Vir.ProofWidgets.Rpc;Vir.Infoview.Surface	vir-host-bindings;vir-infoview-widget	test:infoview;test:runtime;test:upstream	Surface.proofWidgetsExpr carries a server-owned WithRpcRef ExprWithCtx prop through a Js ServerRef host resource; the infoview shell asks Lean.Vir.Infoview.createProofWidgetsExprWithCtxAtPos for the current interactive goal instead of synthesizing it in JavaScript; proofwidgets.rpc.resolveRef can resolve that standard Lean.Server.WithRpcRef path or fall back to descriptor refs with source position revision store-key and known-constant metadata	broaden ExprWithCtx beyond current goals plus edit and tactic APIs
proofwidgets.html_subset	proofwidgets	compat	partial	Vir.ProofWidgets.Html;Vir.React.Node	vir-host-bindings;vir-infoview-widget	test:runtime;test:upstream	Shallow ProofWidgets-style Html facade over native ReactNode resources with text element child-bearing component attrs handlers b img hr style and combinator port of static Jsx.lean cases	add JSX syntax and broader Html/component parity as real ports require
proofwidgets.rpc	proofwidgets	compat	partial	Vir.ProofWidgets.Rpc;Vir.ProofWidgets.Html;Vir.Infoview.ProofWidgetsRpc	vir-host-bindings;vir-infoview-widget	test:infoview;test:runtime;test:upstream	WithRpcRef resolveRef and ExprWithCtx.save support InteractiveExpr-shaped demos; ReactProofWidget receives a live server-owned current-goal ExprWithCtx prop and updates component-owned React state from its resolve callback; edit RPC and tactic UI are still missing	broaden ExprWithCtx beyond current goals plus edit and tactic APIs
proofwidgets.build_integration	proofwidgets	compat	partial	Vir.Infoview.widget;scripts/build-infoview-widget.mjs	vir-infoview-widget	test:infoview	Repo-local esbuild bundle path works; no ProofWidgets package/build integration	add only if needed by real ProofWidgets example
